ChEMBL ID,Name,Molecular Weight,CX Acidic pKa,CX Basic pKa,Aromatic Rings,Molecular Species,Molecular Formula,Smiles,Inchi Key,Amine Class
CHEMBL220165,,237.26,8.65,6.11,1.0,NEUTRAL,C11H15N3O3,Cc1ccccc1CNC(=O)C(N)C(=O)NO,OVUGDIXUGOZMJR-UHFFFAOYSA-N,primary
CHEMBL4098422,,294.32,12.98,8.89,2.0,BASE,C12H18N6O3,CN(C)c1ncnc2c1ncn2C1OC(CO)C(N)C1O,RYSMHWILUNYBFW-UHFFFAOYSA-N,primary
CHEMBL59389,,123.16,,9.41,1.0,BASE,C6H9N3,N[C@@H]1C[C@@H]1c1c[nH]cn1,OWWNABDDYQLERE-CRCLSJGQSA-N,primary
CHEMBL4586378,,158.2,,8.34,2.0,NEUTRAL,C10H10N2,NCc1ccc2ccccc2n1,HGHPGHVNTQSTNM-UHFFFAOYSA-N,primary
CHEMBL4527079,,209.25,13.17,8.53,1.0,BASE,C11H15NO3,OC[C@H]1N[C@@H](c2ccccc2)[C@H](O)[C@@H]1O,VXZYWQYETUQRMH-YTWAJWBKSA-N,secondary
CHEMBL2011605,,185.27,,9.01,0.0,BASE,C10H19NO2,CCCCN1CC=C[C@@H](O)[C@H]1CO,NHPSLFSVHQQWQU-NXEZZACHSA-N,tertiary
CHEMBL2011622,,131.17,,9.23,0.0,BASE,C6H13NO2,OC[C@@H]1NCCC[C@@H]1O,WRLZCUCTSFUOQY-WDSKDSINSA-N,secondary
CHEMBL3113216,,244.25,12.8,9.29,1.0,BASE,C9H16N4O4,N[C@H]1C[C@@H](n2cc(CO)nn2)[C@H](O)[C@@H](O)[C@@H]1O,KTDPSJBBAKGRDB-ABRLLLAPSA-N,primary
CHEMBL466845,,246.27,12.92,4.79,1.0,NEUTRAL,C12H14N4O2,N#Cc1ccc(NC(=O)CN2CCOCC2)cn1,PWOYDDGGFCOZOG-UHFFFAOYSA-N,tertiary
CHEMBL1213432,,144.22,,10.24,0.0,BASE,C7H16N2O,CCC1CC(ON)CCN1,BUNBWYCZYAVJSM-UHFFFAOYSA-N,secondary
CHEMBL453573,,184.28,,8.5,0.0,NEUTRAL,C10H20N2O,CC[C@@H](C)[C@H](N)C(=O)N1CCCC1,IMCMJLZQYAUSFW-BDAKNGLRSA-N,primary
CHEMBL3401900,,204.27,13.5,7.49,1.0,NEUTRAL,C12H16N2O,O=C(CN1CCCC1)Nc1ccccc1,CIOIRYLEIVBXJB-UHFFFAOYSA-N,tertiary
CHEMBL775,METANEPHRINE,197.23,10.05,9.25,1.0,BASE,C10H15NO3,CNCC(O)c1ccc(O)c(OC)c1,JWJCTZKFYGDABJ-UHFFFAOYSA-N,secondary
CHEMBL54961,,116.21,,10.65,0.0,BASE,C6H16N2,CC(N)C(C)CCN,OLTBRQIRRDQOTO-UHFFFAOYSA-N,primary
CHEMBL380089,,175.23,13.43,8.88,0.0,BASE,C8H17NO3,CC[C@@H]1C[C@H](O)[C@@H](O)[C@@H](CO)N1,QWEWPBRDYZVGBR-NGJRWZKOSA-N,secondary
CHEMBL208589,,189.25,13.43,8.91,0.0,BASE,C9H19NO3,CCC[C@@H]1C[C@H](O)[C@@H](O)[C@@H](CO)N1,WOGVMZZLDYFJIE-HXFLIBJXSA-N,secondary
CHEMBL139751,,126.2,,5.99,0.0,NEUTRAL,C7H14N2,CCCCCNCC#N,UYSWGJRTNAKZIE-UHFFFAOYSA-N,secondary
CHEMBL2315216,,127.15,9.07,8.21,1.0,NEUTRAL,C5H9N3O,Cc1c(CN)cnn1O,LBQXYBCBPVSOGJ-UHFFFAOYSA-N,primary
CHEMBL268979,,135.21,,9.35,1.0,BASE,C9H13N,Cc1cccc(CN)c1C,UKLRWOHZBISUMI-UHFFFAOYSA-N,primary
CHEMBL3309919,,230.27,13.85,6.95,2.0,NEUTRAL,C12H14N4O,CN(CCC#N)Cc1cccc2nc(N)oc12,RYFQVIYSYCAELL-UHFFFAOYSA-N,tertiary
CHEMBL5402032,,280.29,12.48,9.82,2.0,BASE,C11H16N6O3,NCC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,WTXJBYDZDYFLLQ-IOSLPCCCSA-N,primary
CHEMBL1209424,,103.17,,9.16,0.0,BASE,C5H13NO,CN(C)CCCO,PYSGFFTXMUWEOT-UHFFFAOYSA-N,tertiary
