ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
870,C11H15N,secondary,CCC1Cc2ccccc2CN1,11,base,pKAH1,9.29,chembl,DQJWABGLXUIRKS-UHFFFAOYSA-N,9.274270331711707,9.32732689432829
888,C13H20N2O2,tertiary,CC(c1cccc(OC(=O)N(C)C)c1)N(C)C,14,base,pKAH1,8.8,chembl,AIHREYCBCYOMLZ-UHFFFAOYSA-N,8.206928874385493,8.586467185513355
900,C10H12N2O2,secondary,C[C@@H]1Cc2ccc([N+](=O)[O-])cc2CN1,13,base,pKAH1,8.61,chembl,OTVSEAHLIUCIKT-SSDOTTSWSA-N,8.483406607987797,8.806701500418708
910,C8H15NO5,tertiary,O[C@H]1[C@H](O)[C@@H](O)CN2C[C@@H](O)[C@@H](O)[C@H]12,7,base,pKAH1,8.39,chembl,KSWHMQGAWBUNLD-XAZAIFFQSA-N,8.267486021768095,8.54419905533806
912,C13H14N6O,primary,NCc1ccc(COc2nc(N)nc3nc[nH]c23)cc1,0,base,pKAH1,9.23,chembl,UINSGVKWAFJDPI-UHFFFAOYSA-N,9.370070318408219,9.262465151902685
919,C12H17N,secondary,c1ccc(CC2CCNCC2)cc1,8,base,pKAH1,10.35,chembl,ABGXADJDTPFFSZ-UHFFFAOYSA-N,10.126137147447638,10.06450202489881
920,C12H19NO2,primary,CCc1cc(OC)c(CCN)cc1OC,10,base,pKAH1,9.71,chembl,VDRGNAMREYBIHA-UHFFFAOYSA-N,9.941115699017915,9.905130564000508
921,C13H20N2O2,secondary,CC(C)CNCCOC(=O)c1ccc(N)cc1,4,base,pKAH1,9.67,chembl,WDICTQVBXKADBP-UHFFFAOYSA-N,8.693020622362356,8.74538784277761
922,C12H20N4,tertiary,CCCCn1ncc(C2=CCCN(C)C2)n1,12,base,pKAH1,7.58,chembl,HEKVOINWLJKTDK-UHFFFAOYSA-N,8.566651362181501,8.617790096709076
923,C8H12N2O4,primary,Cc1onc(O)c1CCC(N)C(=O)O,10,base,pKAH1,7.85,chembl,NZDIZJGEDFARSV-UHFFFAOYSA-N,7.82383343288017,7.964837201894514
927,C11H17NO,secondary,CN[C@H](C)Cc1ccc(OC)cc1,1,base,pKAH1,10.2,chembl,UGFMBZYKVQSQFX-SECBINFHSA-N,9.421128788028147,9.40207254154567
929,C12H26N4O5,primary,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,15,base,pKAH1,9.43,chembl,QBWLTQZEVUXXSR-RROBTUQGSA-N,9.4386829445479,9.654565432389449
939,C10H12N2,primary,NCCc1c[nH]c2ccccc12,0,base,pKAH1,9.73,chembl,APJYDQYYACXCRM-UHFFFAOYSA-N,9.72643929313687,9.767256365049187
942,C13H19N,primary,CC(N)Cc1ccc2c(c1)CCCC2,2,base,pKAH1,10.04,chembl,UTVKUFYOPJCDPE-UHFFFAOYSA-N,10.358739564511755,10.23434790953311
963,C13H15NO,secondary,CNCCOc1cccc2ccccc12,1,base,pKAH1,9.5,chembl,GYIQQYDOLSGVHC-UHFFFAOYSA-N,9.194466000620622,9.294432523577976
966,C13H16N4O,tertiary,CN1CCN(C(=O)c2cc3ncccc3[nH]2)CC1,1,base,pKAH1,6.81,chembl,JMKTUMJDFXQICK-UHFFFAOYSA-N,8.239933736476365,8.768451533752783
967,C7H11NO2,secondary,COC(=O)C1=CCCNC1,8,base,pKAH1,8.75,chembl,DYPLDWLIOGXSSE-UHFFFAOYSA-N,8.805729264237023,8.80631417648441
975,C10H15NO,tertiary,CN(C)CCOc1ccccc1,1,base,pKAH1,8.77,chembl,RUHVDRGWCIAFLG-UHFFFAOYSA-N,8.605560554740789,8.647831991004667
