ID,Formula,SMILES,CAS,Set,InChI Key,expt_value,random_Forest_predicted_pka_value,RF_Error,linear_predicted_pka,LFER_Error,Delta_Error
MPAE,C6H15NO,CCC(C)NCCO,35265-04-4,Benchmark,YTVUVYDVQNALCM-UHFFFAOYSA-N,9.42,9.931244275,0.511244275,10.07196102,0.651961019,-0.140716743
1AB,C4H11NO,CCC(CN)O,13552-21-1,Benchmark,KODLUXHSIZOKTG-UHFFFAOYSA-N,9.4,9.506071126,0.106071126,9.58192773,0.18192773,-0.075856603
2AP,C3H9NO,CC(CO)N,78-91-1,Benchmark,BKMMTJMQCTUHRP-UHFFFAOYSA-N,9.4,9.491678138,0.091678138,9.565339091,0.165339091,-0.073660954
2AB,C4H11NO,CCC(CO)N,96-20-8,Benchmark,JCBPETKZIGVZRE-UHFFFAOYSA-N,9.27,9.425631043,0.155631043,9.489216517,0.219216517,-0.063585473
DMMEA,C4H11NO,CN(C)CCO,108-01-0,Benchmark,UEEJHVSXFDXPFK-UHFFFAOYSA-N,9.22,9.264073504,0.044073504,9.303013384,0.083013384,-0.03893988
1-ethylPZ,C6H14N2,CCN1CCNCC1,5308-25-8,Benchmark,WGCYRFWNGRMRJA-UHFFFAOYSA-N,9.2,10.20045047,1.000450474,10.38223461,1.182234608,-0.181784134
1-methylPZ,C5H12N2,CN1CCNCC1,109-01-3,Benchmark,PVOAHINGSUIXLS-UHFFFAOYSA-N,9.14,9.982043419,0.842043419,10.13050957,0.990509569,-0.14846615
tBDEA,C8H19NO2,CC(C)(C)N(CCO)CCO,2160-93-2,Benchmark,XHJGXOOOMKCJPP-UHFFFAOYSA-N,9.06,8.665109038,0.394890962,8.612676921,0.447323079,-0.052432116
1PE,C7H13NO,C1CCN(CC1)CCO,3040-44-6,Benchmark,KZTWONRVIPPDKH-UHFFFAOYSA-N,8.96,9.838842242,0.878842242,9.96546306,1.00546306,-0.126620818
DEA,C4H11NO2,C(CO)NCCO,111-42-2,Benchmark,ZBCBWPMODOFKDW-UHFFFAOYSA-N,8.92,8.790554687,0.129445313,8.757259297,0.162740703,-0.03329539
EDEA,C6H15NO2,CCN(CCO)CCO,139-87-7,Benchmark,AKNUHUCEWALCOI-UHFFFAOYSA-N,8.86,8.69348096,0.16651904,8.645376978,0.214623022,-0.048103981
AMPD,C4H11NO2,CC(CO)(CO)N,115-69-5,Benchmark,UXFQFBNBSPQBJW-UHFFFAOYSA-N,8.84,9.076709561,0.236709561,9.087067082,0.247067082,-0.010357521
DIPA,C6H15NO2,CC(CNCC(C)O)O,110-97-4,Benchmark,LVTYICIALWPMFW-UHFFFAOYSA-N,8.84,8.84308587,0.00308587,8.81780411,0.02219589,-0.01911002
AEPD,C5H13NO2,CCC(CO)(CO)N,115-70-8,Benchmark,IOAOAKDONABGPZ-UHFFFAOYSA-N,8.82,8.905569831,0.085569831,8.889819995,0.069819995,0.015749836
TMOR,C4H9NS,C1CSCCN1,123-90-0,Benchmark,BRNULMACUQOKMR-UHFFFAOYSA-N,8.7,8.933967599,0.233967599,8.922549841,0.222549841,0.011417758
MDEA,C5H13NO2,CN(CCO)CCO,105-59-9,Benchmark,CRVGTESFCCXCTH-UHFFFAOYSA-N ,8.65,8.642238152,0.007761848,8.586317083,0.063682917,-0.055921069
SAPD,C3H9NO2,C(C(CO)N)O,534-03-2,Benchmark,KJJPLEZQSCZCKE-UHFFFAOYSA-N,8.55,8.700773097,0.150773097,8.65378153,0.10378153,0.046991566
"1,4-Me2PPZ",C6H14N2,CN1CCN(CC1)C,106-58-1,Benchmark,RXYPXQSKLGGKOL-UHFFFAOYSA-N,8.38,9.566347792,1.186347792,9.651399598,1.271399598,-0.085051805
MOR,C4H9NO,C1COCCN1,110-91-8,Benchmark,YNAVUWVOSKDBBP-UHFFFAOYSA-N,8.33,9.197395768,0.867395768,9.226163962,0.896163962,-0.028768195
TRC,C6H13NO5,C(C(=O)O)NC(CO)(CO)CO,4/1/5704,Benchmark,SEQKRHFRPICQDD-UHFFFAOYSA-N,8.1,8.144860831,0.044860831,8.013064879,0.086935121,-0.04207429
nCPEA,C5H11NO,C1CC1NCCO,35265-06-6,Benchmark,GOYFAIZCVVGXNK-UHFFFAOYSA-N,8.09,9.313504167,1.223504167,9.359984692,1.269984692,-0.046480524
TMA,C4H11NO3,C(C(CO)(CO)N)O,77-86-1,Benchmark,LENZDBCJOHFCAS-UHFFFAOYSA-N,8.08,8.476870248,0.396870248,8.395722315,0.315722315,0.081147933
TEA,C6H15NO3,OCCN(CCO)CCO,102-71-6,Benchmark,GSEJCLTVZPLZKY-UHFFFAOYSA-N,7.85,8.617661416,0.767661416,8.557991167,0.707991167,0.059670249
4-EtMOR,C6H13NO,CCN1CCOCC1,100-74-3,Benchmark,HVCNXQOWACZAFN-UHFFFAOYSA-N,7.67,8.742044273,1.072044273,8.701348623,1.031348623,0.040695651
4-MeMOR,C5H11NO,CN1CCOCC1,109-02-4,Benchmark,SJRJJKPEHAURKC-UHFFFAOYSA-N,7.38,8.840526989,1.460526989,8.814854871,1.434854871,0.025672118
2MORE,C6H13NO2,C1COCCN1CCO,622-40-2,Benchmark,KKFDCBRMNNSAAW-UHFFFAOYSA-N,7.05,8.552007842,1.502007842,8.482322145,1.432322145,0.069685697
,,,,,,,,0.437959854,,0.419055023,
